Detailed Transcription of: leo.mp3
==================================================

[0.0s - 2.0s]  Yo, what's up?
[2.6s - 7.0s]  So like basically I'm like so here's my ideas what this is like
[7.8s - 13.0s]  I'm just trying to interview and think more about like what players are going through because
[13.4s - 19.6s]  My idea is basically to have the service where I'm connecting like players and mentors or coaches
[20.0s - 25.6s]  So like they could be like experience players or like coaches like coach Bill and things like that
[26.1s - 30.7s]  To like help them like for me. Jackie has been someone like that for me. But yeah
[31.6s - 37.1s]  So I'm just gonna ask different questions about your basketball experience at first and then we'll go from there
[38.5s - 42.7s]  First off how long have you been playing basketball for?
[44.2s - 47.4s]  I mean I'm a pint since like
[48.9s - 53.8s]  Like elementary school, but actually like started playing like club and like a third
[53.8s - 55.8s]  Oh
[56.1s - 59.9s]  Start like taking it seriously and yeah, cool cool. So
[60.8s - 66.6s]  How many days a week do you practice or train? I guess that includes games as well with our team
[69.5s - 74.6s]  Like six days a week and then like I'll go to the Y sometimes or like
[75.4s - 78.0s]  After school, after practice or like
[78.5s - 82.8s]  Do Jackie in the morning really do yeah, yeah, yeah
[83.8s - 87.8s]  And with all this work you're putting in do you have like a specific goal in mind?
[89.0s - 94.8s]  High school starter do you want to be like varsity by this year or do you just love playing basketball?
[95.4s - 98.2s]  I like playing basketball. I just want to get better. I want to be like
[98.8s - 101.6s]  Play at a high level and I
[101.6s - 107.4s]  Eventually want to let you be able to dunk and just just pre-profession at the game and like have better knowledge
[109.5s - 113.0s]  So how much like on a scale of one to ten
[113.8s - 116.8s]  What do you think your motivation for those goals is right now?
[118.5s - 121.2s]  I'd say like eight or nine. Yeah
[122.0s - 124.0s]  and
[124.4s - 126.4s]  Coming in coming to this year
[126.4s - 132.5s]  I've talked to a simple erasm the team and they had like coming in with certain expectations even before trouts
[133.5s - 140.8s]  And do you think like and how have your expectations changed and how have you been like affected by those expectations?
[140.8s - 142.8s]  Yeah, yeah
[143.8s - 145.8s]  Um, I
[145.8s - 154.6s]  don't know I kind of had the expectation that I was gonna be like a sort of a JV player, but I was sort of
[154.8s - 160.4s]  It's definitely different at UHS like I think it's a lot more competitive competitive and
[161.4s - 163.4s]  If a much higher talent
[165.2s - 169.3s]  Yeah, like honestly, I completely feel you like I thought I'd be
[170.3s - 175.1s]  JV sophomore year guaranteed last year after I got went on for us and then
[175.6s - 182.4s]  Yeah, it really is a lot more competitive. I mean even our team would probably be you know most of the JV teams in the city
[182.4s - 184.8s]  So yeah, I see where you're coming from there
[185.5s - 191.8s]  and like when you did get put on fresh how did that affect you and also like
[193.2s - 197.9s]  Do you feel like that changed affected your confidence in anywhere specifically?
[198.7s - 199.9s]  Um
[201.5s - 203.5s]  Not really I was kind of
[203.5s - 205.5s]  Focusing and going on for us
[205.8s - 210.4s]  Kind of killed a do feel like I've still you develop my skills, but um
[212.8s - 216.2s]  I don't know. I mean, I think it definitely like kind of
[217.2s - 219.6s]  Kind of loads my confidence, but I'm also playing with
[220.5s - 223.3s]  Some kids who are like a lot better than me, so I think
[224.9s - 226.9s]  Um, I just
[227.0s - 229.7s]  In what sense you're saying like the kids on our team
[230.4s - 234.9s]  Yeah, yeah, they're definitely yeah, there definitely is a lot of talent on our team
[235.7s - 238.3s]  Yeah, um, and I've also noticed like
[239.2s - 242.8s]  I know that like sometimes I'll talk or like other people will be talking
[243.5s - 248.3s]  But like more specifically, I noticed that like you sometimes get mad at yourself and I'm not trying to like
[249.3s - 251.3s]  I'm gonna say I'm like you and do you feel like
[252.2s - 256.5s]  Like what's going on your head when you when you're like beating yourself out about those mistakes?
[257.2s - 259.2s]  Can you just talk?
[263.2s - 269.1s]  I don't know I just like I don't know what my teammates down like for sure with myself not like doing the things I want to be doing
[270.3s - 275.7s]  And yeah, I just get mad at myself because like make a bad pass or make a bad play or
[276.7s - 278.7s]  not do thing that
[279.2s - 280.3s]  um
[280.3s - 282.3s]  Yeah, do you think like you have like a
[283.1s - 285.1s]  Do you think you sometimes are
[285.2s - 288.5s]  Fear of making those mistakes causes you to make them or do
