Detailed Transcription of: sully.mp3
==================================================

[0.0s - 1.9s]  Thanks for calling me.
[1.9s - 2.7s]  Of course.
[2.7s - 7.0s]  So basically, like the project I'm doing,
[7.0s - 10.6s]  the idea is that I'm going to be connecting, like,
[10.6s - 15.1s]  experienced players or coaches with high school players
[15.1s - 17.8s]  and younger players as sort of mentors.
[17.8s - 19.8s]  I talk with some players from the team.
[19.8s - 24.2s]  You're actually a pretty big mentor for a lot of them.
[24.2s - 28.0s]  And yeah, but I'm just going to ask some questions
[28.0s - 29.5s]  from like a coach's perspective.
[29.5s - 32.6s]  I'm just trying to understand the mental aspect
[32.6s - 37.4s]  that you see players go through as well as you were a player
[37.4s - 40.7s]  in high school and you went through the injury stuff.
[40.7s - 42.5s]  So also just some of that.
[45.0s - 49.4s]  So yeah, I guess starting off with how you were as a player,
[49.4s - 51.9s]  in terms of the injuries, how did you deal with that mentally?
[51.9s - 53.8s]  And was there like a big effect?
[53.8s - 55.3s]  And how did you work through that?
[56.2s - 59.2s]  It was pretty bad, honestly.
[59.2s - 65.2s]  I think the first, the first one was probably,
[65.2s - 68.5s]  I would say the second one was probably the hardest,
[68.5s - 71.5s]  weirdly, because the first one I was like, oh, yeah,
[71.5s - 73.9s]  I can do this.
[73.9s - 75.4s]  Like obviously I'm missing a year,
[75.4s - 78.4s]  but then I got junior and senior year.
[78.4s - 81.2s]  But then once that second one came in,
[81.2s - 83.2s]  I was going to miss two years.
[83.2s - 84.9s]  So I had more angiolier.
[84.9s - 89.9s]  So I was obviously like hard and till eating and mic.
[93.5s - 98.0s]  Because I had made basketball such a part of my life.
[98.0s - 99.8s]  Like literally my entire family basically,
[99.8s - 101.8s]  all we do is either play basketball
[101.8s - 103.4s]  or watch basketball or talk.
[107.1s - 111.1s]  But then over time, I learned a lot of strategies
[111.1s - 116.1s]  to counter like a, in that community,
[116.4s - 120.8s]  like I've realized basketball is not just about playing
[120.8s - 124.9s]  like that energy like that.
[124.9s - 126.6s]  I get from it is not just playing
[126.6s - 128.8s]  it's not just in or on the game.
[128.8s - 131.2s]  So just trying to figure out how to do that
[131.2s - 133.1s]  in any way possible.
[133.1s - 136.3s]  Was it really good like coping short of mechanism?
[137.3s - 139.8s]  Was that like,
[139.8s - 143.3s]  is that when you started being interested in coaching
[143.3s - 146.2s]  and also like you started coaching that A team
[146.2s - 150.2s]  was that before the flash team or?
[150.2s - 154.2s]  Yeah, so I kind of first,
[155.4s - 158.6s]  first injury before this I get injury,
[158.6s - 160.8s]  I was not thinking about coaching at all
[160.8s - 163.4s]  because it was obviously like it's a year,
[163.5s - 165.8s]  but I was still thinking about just getting back
[165.8s - 168.4s]  to playing as fast as possible.
[168.4s - 170.6s]  But then second injury,
[172.1s - 174.9s]  that was kind of when I started thinking about coaching.
[176.1s - 179.2s]  I coached, so I coached last year,
[179.2s - 184.2s]  I coached the JV team with an adjusting
[184.4s - 189.4s]  and then this, and I did the A, just a season of.
[190.4s - 194.4s]  And okay, and like a lot of the coaches
[196.6s - 201.1s]  I've talked to, I've talked to Tim.
[201.1s - 204.4s]  So like and the other like JV coaches I've talked to,
[204.4s - 209.1s]  they say they like see players like have a hard time
[209.1s - 211.2s]  with transitioning.
[211.2s - 214.6s]  Whether that be from middle school to high school
[214.6s - 217.7s]  or from practice to games, do you see any of that?
[217.8s - 220.7s]  And like have you seen kids,
[220.7s - 224.3s]  even on our team deal with that and improve with that over time?
[227.6s - 232.2s]  I definitely see a lot of like confidence
[233.6s - 236.4s]  like over the season confidence
[236.4s - 238.7s]  that it's just been getting a lot better.
[238.7s - 243.6s]  But everyone and I've seen and it's not,
[243.6s - 246.3s]  it's almost unconscious.
[246.8s - 251.8s]  Like one of the things that Tim probably said this is like,
[251.8s - 256.3s]  you gotta realize that you are confident
[256.3s - 258.9s]  and that will boost, that will even boost your confidence
[258.9s - 260.4s]  even more so I think that.
[262.7s - 266.5s]  That like, yeah definitely.
[266.5s - 271.5s]  Like even, I would say less like transition
[272.2s - 275.4s]  from games or practice to games,
[275.4s - 280.4s]  but almost even more from like games to practice
[280.6s - 285.6s]  in terms of like staying focused and joy.
[285.6s - 287.4s]  Like I feel like with our team,
[287.4s - 292.4s]  we're doing so well that we bring that joy into practice
[292.6s - 296.2s]  and kind of that vibe stays throughout the whole.
[297.3s - 298.2s]  Yeah.
[298.2s - 301.0s]  And Tim says, Tim talked about like,
[301.0s - 303.4s]  he thought our team culture was actually,
[304.3s - 306.2s]  like it is positive in that aspect.
[306.2s - 308.2s]  And do you think that it's also negative,
[308.2s - 312.0s]  like in affecting some players' confidence
[312.0s - 314.9s]  because like some kids, including me
[314.9s - 316.9s]  or people would trash talk to me,
[316.9s - 321.1s]  like the culture is like, it's like honest in a sense
[321.1s - 326.1s]  but it's also like not as uplifting as some other teams
[326.1s - 326.9s]  I've been on.
[326.9s - 328.7s]  So do you think that you've seen that?
[329.7s - 334.1s]  I think the honesty is amazing.
[334.1s - 338.2s]  Like I think the only way that you truly like,
[338.2s - 341.6s]  it better is if you know what you're doing wrong
[342.6s - 344.2s]  because if you only know what you're doing,
[344.2s - 346.3s]  right, you're never gonna add anything.
[346.3s - 349.1s]  You're only gonna get better at what you know.
[349.1s - 351.2s]  And once people realize that you only know
[351.2s - 353.0s]  how to do one thing, it's bad,
[353.0s - 355.8s]  but in terms of culture,
[356.8s - 358.8s]  let's see, I should like,
[358.8s - 362.1s]  I'd call it through trash talk, hell.
[362.1s - 366.8s]  Yeah, like, I don't, I do think it's good,
[366.8s - 371.6s]  but there should definitely be some more like confidence,
[371.6s - 374.6s]  building, it might, the trash talk is fine,
[374.6s - 379.6s]  but then there's not enough hype as well.
[380.4s - 383.8s]  Specifically like practices, I feel like during games,
[383.9s - 385.8s]  the hype is amazing,
[385.8s - 388.9s]  but that's just because we're beating a team
[388.9s - 392.8s]  by 2030, 40, but like during practice,
[392.8s - 397.4s]  definitely some kids like specifically,
[397.4s - 400.5s]  are trash talking, but then not saying anything constantly.
[400.5s - 403.3s]  I think we've gotta have both,
[403.3s - 404.8s]  if you're gonna be a good team.
[404.8s - 409.8s]  And I think over the course of this season,
[410.3s - 415.2s]  I have kind of seen a trend of more trash talk,
[415.2s - 417.4s]  unless, yeah.
[417.4s - 420.4s]  For that, but that's also because you guys are closer
[420.4s - 421.6s]  to each other, like it's more,
[421.6s - 424.6s]  it's that trash talk is like friendly,
[424.6s - 428.0s]  and like your own trash talk, your friends like that.
[428.0s - 428.8s]  Yeah.
[429.8s - 432.9s]  And in terms of some other issues,
[434.1s - 435.4s]  I'm just gonna name them off and tell me
[435.4s - 436.3s]  if you see them or not.
[436.3s - 439.4s]  Do you see like, like skill plateaus,
[439.4s - 443.4s]  do you see kids who are going hard in practice?
[443.4s - 446.2s]  But like you said, that confidence has been rising
[446.2s - 447.6s]  in general, but do you see things
[447.6s - 449.6s]  where it's like it's been going down?
[449.6s - 451.1s]  And at all.
[455.3s - 460.3s]  I haven't really seen and overall season going down.
[463.4s - 465.6s]  I've definitely seen day to day,
[466.6s - 468.9s]  like people have had moments,
[470.1s - 475.0s]  like, I'd say I think Jacob's been in a shooting
[475.0s - 478.5s]  so I'm recently not having been making his frivolous,
[478.5s - 480.4s]  obviously Leo's crashed now a lot.
[480.4s - 485.4s]  Like, you and he like all the shooting kind of,
[485.4s - 488.2s]  it fluctuates a lot when you guys are shooting bad,
[488.2s - 490.7s]  you're shooting bad, you're shooting good, you're shooting good.
[490.7s - 491.8s]  Yeah.
[491.8s - 495.6s]  I think, yeah, I talked to Leo actually earlier today.
